service_date,day_type,bus,rail_boardings,total_rides
02/15/2022,W,434683,282736,717419
02/16/2022,W,436057,286506,722563
02/17/2022,W,365062,260175,625237
02/18/2022,W,383850,268927,652777
02/19/2022,A,228190,179991,408181
02/20/2022,U,193971,146532,340503
02/21/2022,W,330376,219366,549742
02/22/2022,W,402852,275702,678554
02/23/2022,W,434639,288569,723208
02/24/2022,W,417551,290246,707797
02/25/2022,W,411882,278287,690169
02/26/2022,A,260161,190557,450718
02/27/2022,U,197978,139377,337355
02/28/2022,W,437269,272433,709702
03/01/2022,W,471547,297951,769498
03/02/2022,W,461679,304639,766318
03/03/2022,W,450905,301344,752249
03/04/2022,W,437164,288975,726139
03/05/2022,A,291281,221714,512995
03/06/2022,U,194300,141976,336276
03/07/2022,W,399383,261592,660975
03/08/2022,W,464441,303631,768072
03/09/2022,W,466984,310336,777320
03/10/2022,W,444721,310435,755156
03/11/2022,W,422764,294476,717240
03/12/2022,A,247872,287526,535398
03/13/2022,U,200879,168821,369700
03/14/2022,W,448558,294168,742726
03/15/2022,W,463215,322609,785824
03/16/2022,W,479823,333597,813420
03/17/2022,W,463068,336933,800001
03/18/2022,W,404540,292739,697279
03/19/2022,A,250839,203842,454681
03/20/2022,U,220280,183597,403877
03/21/2022,W,459452,286077,745529
03/22/2022,W,432916,290803,723719
03/23/2022,W,411053,285528,696581
03/24/2022,W,452116,279960,732076
03/25/2022,W,431829,290569,722398
03/26/2022,A,242199,191025,433224
03/27/2022,U,193217,147865,341082
03/28/2022,W,443113,283316,726429
03/29/2022,W,459127,310432,769559
03/30/2022,W,425844,299471,725315
03/31/2022,W,446918,313624,760542
04/01/2022,W,484903,314610,799513
04/02/2022,A,264044,194383,458427
04/03/2022,U,218901,153875,372776
04/04/2022,W,457452,291019,748471
04/05/2022,W,482775,326164,808939
04/06/2022,W,470573,327753,798326
04/07/2022,W,468788,346853,815641
04/08/2022,W,398017,301320,699337
04/09/2022,A,283129,232566,515695
04/10/2022,U,221977,184272,406249
04/11/2022,W,388543,276040,664583
04/12/2022,W,426444,323042,749486
04/13/2022,W,375870,290641,666511
04/14/2022,W,408379,316347,724726
04/15/2022,W,367610,276605,644215
04/16/2022,A,274093,216395,490488
04/17/2022,U,183837,139738,323575
04/18/2022,W,416359,279342,695701
04/19/2022,W,461501,324667,786168
04/20/2022,W,453943,322677,776620
04/21/2022,W,455139,339779,794918
04/22/2022,W,414144,295319,709463
04/23/2022,A,312128,278763,590891
04/24/2022,U,192744,162462,355206
04/25/2022,W,454532,293934,748466
04/26/2022,W,476474,323321,799795
04/27/2022,W,473316,325530,798846
04/28/2022,W,461751,329024,790775
04/29/2022,W,472802,324138,796940
04/30/2022,A,260440,208693,469133
05/01/2022,U,209565,167306,376871
05/02/2022,W,456676,288292,744968
05/03/2022,W,427088,304189,731277
05/04/2022,W,500429,344233,844662
05/05/2022,W,464544,329241,793785
05/06/2022,W,429700,298387,728087
05/07/2022,A,308573,262869,571442
05/08/2022,U,204641,167467,372108
05/09/2022,W,456324,296458,752782
05/10/2022,W,487603,334899,822502
05/11/2022,W,481802,332548,814350
05/12/2022,W,475308,345676,820984
05/13/2022,W,470223,332657,802880
05/14/2022,A,303044,249361,552405
05/15/2022,U,210931,171982,382913
05/16/2022,W,460986,304494,765480
05/17/2022,W,479630,337079,816709
05/18/2022,W,452731,322841,775572
05/19/2022,W,486489,351429,837918
05/20/2022,W,458078,321127,779205
05/21/2022,A,258763,218972,477735
05/22/2022,U,221756,193002,414758
05/23/2022,W,456515,297901,754416
05/24/2022,W,484351,336010,820361
05/25/2022,W,461780,319883,781663
05/26/2022,W,467853,332069,799922
05/27/2022,W,435553,299737,735290
05/28/2022,A,299533,280228,579761
05/29/2022,U,239199,246793,485992
05/30/2022,U,235865,210421,446286
05/31/2022,W,468550,326376,794926
06/01/2022,W,496766,346924,843690
06/02/2022,W,492400,355544,847944
06/03/2022,W,494862,353934,848796
06/04/2022,A,298993,261915,560908
06/05/2022,U,230730,216530,447260
06/06/2022,W,437910,291922,729832
06/07/2022,W,492774,348945,841719
06/08/2022,W,454093,328980,783073
06/09/2022,W,488146,359630,847776
06/10/2022,W,450488,327910,778398
06/11/2022,A,311911,264509,576420
06/12/2022,U,224348,193587,417935
06/13/2022,W,433682,306621,740303
06/14/2022,W,467146,345831,812977
06/15/2022,W,435538,338852,774390
06/16/2022,W,441821,351622,793443
06/17/2022,W,438575,356445,795020
06/18/2022,A,316980,307051,624031
06/19/2022,U,227181,226033,453214
06/20/2022,W,365955,257700,623655
06/21/2022,W,427588,321100,748688
06/22/2022,W,444712,335641,780353
06/23/2022,W,442860,345391,788251
06/24/2022,W,429666,353308,782974
06/25/2022,A,276951,259318,536269
06/26/2022,U,228786,301320,530106
06/27/2022,W,416606,298347,714953
06/28/2022,W,445097,348827,793924
06/29/2022,W,448310,350300,798610
06/30/2022,W,434307,354302,788609
07/01/2022,W,427111,319073,746184
07/02/2022,A,314971,271980,586951
07/03/2022,U,234889,221003,455892
07/04/2022,U,201272,158486,359758
07/05/2022,W,400714,283797,684511
07/06/2022,W,438241,315347,753588
07/07/2022,W,444168,331132,775300
07/08/2022,W,414527,323371,737898
07/09/2022,A,314661,288100,602761
07/10/2022,U,228764,208566,437330
07/11/2022,W,411177,289480,700657
07/12/2022,W,460573,351612,812185
07/13/2022,W,462243,357923,820166
07/14/2022,W,459272,364927,824199
07/15/2022,W,385035,307877,692912
07/16/2022,A,306271,295499,601770
07/17/2022,U,212995,208264,421259
07/18/2022,W,432780,299248,732028
07/19/2022,W,453338,335621,788959
07/20/2022,W,455439,338205,793644
07/21/2022,W,445763,342598,788361
07/22/2022,W,426586,323821,750407
07/23/2022,A,275396,265291,540687
07/24/2022,U,209703,202481,412184
07/25/2022,W,423680,314719,738399
07/26/2022,W,460649,352662,813311
07/27/2022,W,446320,340006,786326
07/28/2022,W,448728,380517,829245
07/29/2022,W,430804,378849,809653
07/30/2022,A,304052,327388,631440
07/31/2022,U,224307,252781,477088
08/01/2022,W,433904,304820,738724
08/02/2022,W,451890,335737,787627
08/03/2022,W,430236,321771,752007
08/04/2022,W,449161,341966,791127
08/05/2022,W,445484,357462,802946
08/06/2022,A,302707,280369,583076
08/07/2022,U,202042,193344,395386
08/08/2022,W,381427,286194,667621
08/09/2022,W,454272,352582,806854
08/10/2022,W,455381,346182,801563
08/11/2022,W,444736,337937,782673
08/12/2022,W,430652,320260,750912
08/13/2022,A,295364,253835,549199
08/14/2022,U,214683,189154,403837
08/15/2022,W,422612,312773,735385
08/16/2022,W,445900,335456,781356
08/17/2022,W,451427,335610,787037
08/18/2022,W,447149,343155,790304
08/19/2022,W,446821,359501,806322
08/20/2022,A,276088,263681,539769
08/21/2022,U,235253,221628,456881
08/22/2022,W,484550,322408,806958
08/23/2022,W,510024,370191,880215
08/24/2022,W,509522,369646,879168
08/25/2022,W,491181,367289,858470
08/26/2022,W,495636,347989,843625
08/27/2022,A,313588,249105,562693
08/28/2022,U,219848,188705,408553
08/29/2022,W,453804,307410,761214
08/30/2022,W,524895,366870,891765
08/31/2022,W,521586,366459,888045
09/01/2022,W,526641,371181,897822
09/02/2022,W,507102,361289,868391
09/03/2022,A,329125,291196,620321
09/04/2022,U,229381,227410,456791
09/05/2022,U,236613,180944,417557
09/06/2022,W,523472,365689,889161
09/07/2022,W,534473,388259,922732
09/08/2022,W,529691,391210,920901
09/09/2022,W,506174,373012,879186
09/10/2022,A,328476,293144,621620
09/11/2022,U,180862,175036,355898
09/12/2022,W,480954,342767,823721
09/13/2022,W,527850,390462,918312
09/14/2022,W,531662,395177,926839
09/15/2022,W,526216,409158,935374
09/16/2022,W,508567,431965,940532
09/17/2022,A,333893,324035,657928
09/18/2022,U,237991,241024,479015
09/19/2022,W,495344,350160,845504
09/20/2022,W,522109,387279,909388
09/21/2022,W,537697,392818,930515
09/22/2022,W,530009,398846,928855
09/23/2022,W,458882,354789,813671
09/24/2022,A,320145,265000,585145
09/25/2022,U,229013,196621,425634
09/26/2022,W,497354,338256,835610
09/27/2022,W,527776,392549,920325
09/28/2022,W,530749,399004,929753
09/29/2022,W,521049,399396,920445
09/30/2022,W,517079,372584,889663
10/01/2022,A,331991,278557,610548
10/02/2022,U,230938,198343,429281
10/03/2022,W,522157,347552,869709
10/04/2022,W,539617,387120,926737
10/05/2022,W,535091,386695,921786
10/06/2022,W,528937,407379,936316
10/07/2022,W,497726,385824,883550
10/08/2022,A,327134,300298,627432
10/09/2022,U,207502,351798,559300
10/10/2022,W,413126,332397,745523
10/11/2022,W,516976,397158,914134
10/12/2022,W,497854,384939,882793
10/13/2022,W,533103,420167,953270
10/14/2022,W,501494,372144,873638
10/15/2022,A,325294,272080,597374
10/16/2022,U,227365,191906,419271
10/17/2022,W,470688,332889,803577
10/18/2022,W,499407,372296,871703
10/19/2022,W,525153,378834,903987
10/20/2022,W,507374,383470,890844
10/21/2022,W,462718,343986,806704
10/22/2022,A,328599,254638,583237
10/23/2022,U,239284,189552,428836
10/24/2022,W,499098,342781,841879
10/25/2022,W,478171,370030,848201
10/26/2022,W,539425,393904,933329
10/27/2022,W,528826,395129,923955
10/28/2022,W,501985,352842,854827
10/29/2022,A,311437,254149,565586
10/30/2022,U,217204,177961,395165
10/31/2022,W,454862,318942,773804
11/01/2022,W,535639,378179,913818
11/02/2022,W,532834,379413,912247
11/03/2022,W,540308,389939,930247
11/04/2022,W,489779,345651,835430
11/05/2022,A,271210,239302,510512
11/06/2022,U,237292,195418,432710
11/07/2022,W,502205,345095,847300
11/08/2022,W,445547,343165,788712
11/09/2022,W,524300,382075,906375
11/10/2022,W,534931,396488,931419
11/11/2022,W,458476,329637,788113
11/12/2022,A,283958,233513,517471
11/13/2022,U,216386,184686,401072
11/14/2022,W,479311,330831,810142
11/15/2022,W,482772,363154,845926
11/16/2022,W,501388,367015,868403
11/17/2022,W,489196,368122,857318
11/18/2022,W,437859,348326,786185
11/19/2022,A,253918,231052,484970
11/20/2022,U,204456,163384,367840
11/21/2022,W,423423,299744,723167
11/22/2022,W,435161,314006,749167
11/23/2022,W,398091,275787,673878
11/24/2022,U,160200,111986,272186
11/25/2022,W,305747,216040,521787
11/26/2022,A,283619,206385,490004
11/27/2022,U,190990,145822,336812
11/28/2022,W,472849,306743,779592
11/29/2022,W,492390,346172,838562
11/30/2022,W,471180,342095,813275
12/01/2022,W,494028,351763,845791
12/02/2022,W,490109,327826,817935
12/03/2022,A,302524,235937,538461
12/04/2022,U,219158,175364,394522
12/05/2022,W,473036,301290,774326
12/06/2022,W,491402,343974,835376
12/07/2022,W,501570,348450,850020
12/08/2022,W,491122,354293,845415
12/09/2022,W,434379,310116,744495
12/10/2022,A,301199,250406,551605
12/11/2022,U,217920,181270,399190
12/12/2022,W,461205,309804,771009
12/13/2022,W,488778,350345,839123
12/14/2022,W,460656,334180,794836
12/15/2022,W,479951,357938,837889
12/16/2022,W,438828,317559,756387
12/17/2022,A,273704,221530,495234
12/18/2022,U,205652,168395,374047
12/19/2022,W,422466,271588,694054
12/20/2022,W,458350,301658,760008
12/21/2022,W,449539,293415,742954
12/22/2022,W,334740,211520,546260
12/23/2022,W,154576,107314,261890
12/24/2022,A,150459,94387,244846
12/25/2022,U,85188,55366,140554
12/26/2022,U,205368,123005,328373
12/27/2022,W,315154,202638,517792
12/28/2022,W,321472,212073,533545
12/29/2022,W,347158,231287,578445
12/30/2022,W,364899,243067,607966
12/31/2022,A,257498,181031,438529
01/01/2023,U,164489,140776,305265
01/02/2023,U,254124,165797,419921
01/03/2023,W,383247,275846,659093
01/04/2023,W,398456,292474,690930
01/05/2023,W,384238,292708,676946
01/06/2023,W,371923,258636,630559
01/07/2023,A,272633,183930,456563
01/08/2023,U,209397,145377,354774
01/09/2023,W,449465,296803,746268
01/10/2023,W,499769,345615,845384
01/11/2023,W,499126,343468,842594
01/12/2023,W,474679,340171,814850
01/13/2023,W,443233,292169,735402
01/14/2023,A,288502,201672,490174
01/15/2023,U,220389,154138,374527
01/16/2023,W,295880,196321,492201
01/17/2023,W,496926,344762,841688
01/18/2023,W,495410,346875,842285
01/19/2023,W,479283,347238,826521
01/20/2023,W,457848,296350,754198
01/21/2023,A,285487,196802,482289
01/22/2023,U,201809,140538,342347
01/23/2023,W,468304,307836,776140
01/24/2023,W,505791,355136,860927
01/25/2023,W,462648,337076,799724
01/26/2023,W,484428,350067,834495
01/27/2023,W,435531,290048,725579
01/28/2023,A,270454,190883,461337
01/29/2023,U,199420,144673,344093
01/30/2023,W,420711,284230,704941
01/31/2023,W,428116,311121,739237
02/01/2023,W,488390,332706,821096
02/02/2023,W,488230,339244,827474
02/03/2023,W,367206,247871,615077
02/04/2023,A,295858,188543,484401
02/05/2023,U,228506,147681,376187
02/06/2023,W,489061,304675,793736
02/07/2023,W,512128,348998,861126
02/08/2023,W,517223,348441,865664
02/09/2023,W,456891,326676,783567
02/10/2023,W,480757,289003,769760
02/11/2023,A,305427,182401,487828
02/12/2023,U,228971,139964,368935
02/13/2023,W,477325,298814,776139
02/14/2023,W,510605,355572,866177
02/15/2023,W,498251,346762,845013
02/16/2023,W,450939,324574,775513
02/17/2023,W,447365,297527,744892
02/18/2023,A,307618,213471,521089
02/19/2023,U,241433,167599,409032
02/20/2023,W,371110,251523,622633
02/21/2023,W,512268,349053,861321
02/22/2023,W,445175,320183,765358
02/23/2023,W,500377,349987,850364
02/24/2023,W,468093,303528,771621
02/25/2023,A,313877,199947,513824
02/26/2023,U,246373,152718,399091
02/27/2023,W,438886,284156,723042
02/28/2023,W,516342,350093,866435
03/01/2023,W,538035,357399,895434
03/02/2023,W,505862,352552,858414
03/03/2023,W,441984,285055,727039
03/04/2023,A,332481,209545,542026
03/05/2023,U,246208,156086,402294
03/06/2023,W,470524,303195,773719
03/07/2023,W,528413,362941,891354
03/08/2023,W,521850,359517,881367
03/09/2023,W,498577,352220,850797
03/10/2023,W,466305,312533,778838
03/11/2023,A,326961,340919,667880
03/12/2023,U,215765,159274,375039
03/13/2023,W,459265,307389,766654
03/14/2023,W,524325,366497,890822
03/15/2023,W,535449,367880,903329
03/16/2023,W,499382,360728,860110
03/17/2023,W,435055,319561,754616
03/18/2023,A,284653,199267,483920
03/19/2023,U,238907,157695,396602
03/20/2023,W,478059,300593,778652
03/21/2023,W,510959,347098,858057
03/22/2023,W,499380,340260,839640
03/23/2023,W,489519,342562,832081
03/24/2023,W,475520,306297,781817
03/25/2023,A,287548,202198,489746
03/26/2023,U,222855,179536,402391
03/27/2023,W,493436,320115,813551
03/28/2023,W,521594,365749,887343
03/29/2023,W,470430,353192,823622
03/30/2023,W,517477,388264,905741
03/31/2023,W,467904,309609,777513
04/01/2023,A,315267,235235,550502
04/02/2023,U,261251,191192,452443
04/03/2023,W,439537,304009,743546
04/04/2023,W,428000,325448,753448
04/05/2023,W,438936,335701,774637
04/06/2023,W,459977,353018,812995
04/07/2023,W,419926,312653,732579
04/08/2023,A,333736,244038,577774
04/09/2023,U,237320,168475,405795
04/10/2023,W,492576,324608,817184
04/11/2023,W,539533,388288,927821
04/12/2023,W,516841,388965,905806
04/13/2023,W,541076,386440,927516
04/14/2023,W,518497,353807,872304
04/15/2023,A,360082,254964,615046
04/16/2023,U,229968,157603,387571
04/17/2023,W,458530,310077,768607
04/18/2023,W,523866,378471,902337
04/19/2023,W,527267,380103,907370
04/20/2023,W,516298,393967,910265
04/21/2023,W,505681,360742,866423
04/22/2023,A,329493,240134,569627
04/23/2023,U,245927,174185,420112
04/24/2023,W,502642,328298,830940
04/25/2023,W,516696,378228,894924
04/26/2023,W,539161,388688,927849
04/27/2023,W,532971,395661,928632
04/28/2023,W,503332,340242,843574
04/29/2023,A,331120,224434,555554
04/30/2023,U,238929,165311,404240
05/01/2023,W,482348,315630,797978
05/02/2023,W,530573,372211,902784
05/03/2023,W,555155,381538,936693
05/04/2023,W,542958,391265,934223
05/05/2023,W,518792,367635,886427
05/06/2023,A,354490,259476,613966
05/07/2023,U,281403,198280,479683
05/08/2023,W,469174,325860,795034
05/09/2023,W,548033,396388,944421
05/10/2023,W,544618,397870,942488
05/11/2023,W,533940,384804,918744
05/12/2023,W,481927,328362,810289
05/13/2023,A,344247,221075,565322
05/14/2023,U,233363,156364,389727
05/15/2023,W,486638,320403,807041
05/16/2023,W,533948,384145,918093
05/17/2023,W,527429,382604,910033
05/18/2023,W,525435,390005,915440
05/19/2023,W,486435,337006,823441
05/20/2023,A,354750,241214,595964
05/21/2023,U,273007,193053,466060
05/22/2023,W,499608,333292,832900
05/23/2023,W,537810,406630,944440
05/24/2023,W,535858,401039,936897
05/25/2023,W,528009,395099,923108
05/26/2023,W,497832,356184,854016
05/27/2023,A,340968,290957,631925
05/28/2023,U,273385,247157,520542
05/29/2023,U,269683,209702,479385
05/30/2023,W,517974,382375,900349
05/31/2023,W,517111,389469,906580
06/01/2023,W,544178,393187,937365
06/02/2023,W,514354,386122,900476
06/03/2023,A,371914,300646,672560
06/04/2023,U,278304,238509,516813
06/05/2023,W,511045,350028,861073
06/06/2023,W,522067,389250,911317
06/07/2023,W,535180,390851,926031
06/08/2023,W,493065,387473,880538
06/09/2023,W,476837,381247,858084
06/10/2023,A,379556,320326,699882
06/11/2023,U,239715,193563,433278
06/12/2023,W,457944,327050,784994
06/13/2023,W,450859,375000,825859
06/14/2023,W,493401,392696,886097
06/15/2023,W,482965,398441,881406
06/16/2023,W,453530,361553,815083
06/17/2023,A,372865,295909,668774
06/18/2023,U,272736,221073,493809
06/19/2023,W,384578,261569,646147
06/20/2023,W,488457,375171,863628
06/21/2023,W,495689,401487,897176
06/22/2023,W,486237,402155,888392
06/23/2023,W,469905,383443,853348
06/24/2023,A,369643,298557,668200
06/25/2023,U,258229,295714,553943
06/26/2023,W,445453,323554,769007
06/27/2023,W,496729,395754,892483
06/28/2023,W,496731,392034,888765
06/29/2023,W,470303,393963,864266
06/30/2023,W,473836,378120,851956
07/01/2023,A,335143,311337,646480
07/02/2023,U,170177,192380,362557
07/03/2023,W,444738,293378,738116
07/04/2023,U,281675,195858,477533
07/05/2023,W,448241,324432,772673
07/06/2023,W,495284,375201,870485
07/07/2023,W,479367,347499,826866
07/08/2023,A,352631,259570,612201
07/09/2023,U,281445,205204,486649
07/10/2023,W,485647,330776,816423
07/11/2023,W,483040,372976,856016
07/12/2023,W,443121,354104,797225
07/13/2023,W,505564,394862,900426
07/14/2023,W,476443,373807,850250
07/15/2023,A,359874,287408,647282
07/16/2023,U,281420,234238,515658
07/17/2023,W,480822,349113,829935
07/18/2023,W,512122,398713,910835
07/19/2023,W,515105,402686,917791
07/20/2023,W,502681,414002,916683
07/21/2023,W,485225,389288,874513
07/22/2023,A,360932,312905,673837
07/23/2023,U,288305,247161,535466
07/24/2023,W,474506,338496,813002
07/25/2023,W,508517,383391,891908
07/26/2023,W,478350,371278,849628
07/27/2023,W,502581,385163,887744
07/28/2023,W,446842,334517,781359
07/29/2023,A,364824,286441,651265
07/30/2023,U,285496,219936,505432
07/31/2023,W,469024,334195,803219
08/01/2023,W,528437,389535,917972
08/02/2023,W,519583,423358,942941
08/03/2023,W,521191,480968,1002159
08/04/2023,W,493321,456039,949360
08/05/2023,A,338701,346075,684776
08/06/2023,U,264872,298188,563060
08/07/2023,W,467465,346627,814092
08/08/2023,W,508824,388916,897740
08/09/2023,W,501770,394563,896333
08/10/2023,W,506343,383545,889888
08/11/2023,W,472150,370307,842457
08/12/2023,A,370464,315090,685554
08/13/2023,U,279218,225085,504303
08/14/2023,W,408865,290559,699424
08/15/2023,W,500013,382517,882530
08/16/2023,W,518485,390193,908678
08/17/2023,W,484256,366327,850583
08/18/2023,W,490626,366654,857280
08/19/2023,A,381458,303336,684794
08/20/2023,U,296344,239159,535503
08/21/2023,W,551302,343866,895168
08/22/2023,W,564653,390141,954794
08/23/2023,W,531763,365111,896874
08/24/2023,W,501750,365055,866805
08/25/2023,W,553276,375055,928331
08/26/2023,A,361538,273589,635127
08/27/2023,U,289983,218533,508516
08/28/2023,W,567171,371199,938370
08/29/2023,W,585643,418817,1004460
08/30/2023,W,589901,420080,1009981
08/31/2023,W,579376,413083,992459
09/01/2023,W,585674,386812,972486
09/02/2023,A,384728,291029,675757
09/03/2023,U,309758,248524,558282
09/04/2023,U,293106,220411,513517
09/05/2023,W,586167,409043,995210
09/06/2023,W,578259,425429,1003688
09/07/2023,W,597711,442432,1040143
09/08/2023,W,555213,397332,952545
09/09/2023,A,385592,323033,708625
09/10/2023,U,297306,247808,545114
09/11/2023,W,504742,356445,861187
09/12/2023,W,603242,432403,1035645
09/13/2023,W,593103,431950,1025053
09/14/2023,W,587439,437320,1024759
09/15/2023,W,566708,432176,998884
09/16/2023,A,352049,340865,692914
09/17/2023,U,252015,219746,471761
09/18/2023,W,560810,382031,942841
09/19/2023,W,555949,432367,988316
09/20/2023,W,599268,447165,1046433
09/21/2023,W,581536,449600,1031136
09/22/2023,W,525718,400937,926655
09/23/2023,A,381816,312772,694588
09/24/2023,U,290336,234578,524914
09/25/2023,W,552311,370891,923202
09/26/2023,W,565172,416619,981791
09/27/2023,W,583749,427267,1011016
09/28/2023,W,597723,437574,1035297
09/29/2023,W,578054,401168,979222
09/30/2023,A,391173,301206,692379
10/01/2023,U,303953,229368,533321
10/02/2023,W,576630,378334,954964
10/03/2023,W,619488,434467,1053955
10/04/2023,W,610623,445787,1056410
10/05/2023,W,584937,447707,1032644
10/06/2023,W,559485,428321,987806
10/07/2023,A,386990,334134,721124
10/08/2023,U,253021,403385,656406
10/09/2023,W,452540,366694,819234
10/10/2023,W,601129,443465,1044594
10/11/2023,W,598019,442594,1040613
10/12/2023,W,567954,433731,1001685
10/13/2023,W,519462,373986,893448
10/14/2023,A,338320,266624,604944
10/15/2023,U,293753,222768,516521
10/16/2023,W,551971,374520,926491
10/17/2023,W,587256,440241,1027497
10/18/2023,W,595182,439266,1034448
10/19/2023,W,579587,433975,1013562
10/20/2023,W,562941,395292,958233
10/21/2023,A,364186,309900,674086
10/22/2023,U,288942,219804,508746
10/23/2023,W,555068,379650,934718
10/24/2023,W,598773,434867,1033640
10/25/2023,W,570560,426962,997522
10/26/2023,W,535013,412606,947619
10/27/2023,W,503840,373004,876844
10/28/2023,A,360484,275006,635490
10/29/2023,U,250473,185823,436296
10/30/2023,W,551840,367453,919293
10/31/2023,W,520069,390110,910179
11/01/2023,W,576336,410084,986420
11/02/2023,W,579094,419780,998874
11/03/2023,W,563943,373412,937355
11/04/2023,A,401704,280222,681926
11/05/2023,U,296526,200577,497103
11/06/2023,W,568672,375471,944143
11/07/2023,W,588549,424318,1012867
11/08/2023,W,578329,422082,1000411
11/09/2023,W,588110,454074,1042184
11/10/2023,W,461731,351382,813113
11/11/2023,A,354671,266284,620955
11/12/2023,U,294251,195035,489286
11/13/2023,W,558320,370511,928831
11/14/2023,W,581009,424128,1005137
11/15/2023,W,587609,422609,1010218
11/16/2023,W,580758,415406,996164
11/17/2023,W,544624,418827,963451
11/18/2023,A,348044,315864,663908
11/19/2023,U,278346,201431,479777
11/20/2023,W,472022,334103,806125
11/21/2023,W,465329,339605,804934
11/22/2023,W,443954,298121,742075
11/23/2023,U,187931,128326,316257
11/24/2023,W,323157,227199,550356
11/25/2023,A,310164,213175,523339
11/26/2023,U,219912,160320,380232
11/27/2023,W,505729,325992,831721
11/28/2023,W,522935,368618,891553
11/29/2023,W,553418,387126,940544
11/30/2023,W,559855,396342,956197
12/01/2023,W,513523,339748,853271
12/02/2023,A,358919,260456,619375
12/03/2023,U,268845,172945,441790
12/04/2023,W,537917,337666,875583
12/05/2023,W,556584,384481,941065
12/06/2023,W,572732,389802,962534
12/07/2023,W,580504,404303,984807
12/08/2023,W,561665,372605,934270
12/09/2023,A,369433,283097,652530
12/10/2023,U,264202,196318,460520
12/11/2023,W,517482,326238,843720
12/12/2023,W,556451,378617,935068
12/13/2023,W,559461,378896,938357
12/14/2023,W,558905,384778,943683
12/15/2023,W,535654,351722,887376
12/16/2023,A,321951,230799,552750
12/17/2023,U,271335,184885,456220
12/18/2023,W,498940,306545,805485
12/19/2023,W,527927,342290,870217
12/20/2023,W,540890,343581,884471
12/21/2023,W,519383,325377,844760
12/22/2023,W,418720,267301,686021
12/23/2023,A,341975,206358,548333
12/24/2023,U,247277,141693,388970
12/25/2023,U,145433,80206,225639
12/26/2023,W,360458,208665,569123
12/27/2023,W,403147,252136,655283
12/28/2023,W,392855,253397,646252
12/29/2023,W,415822,261610,677432
12/30/2023,A,340207,212901,553108
12/31/2023,U,250204,187144,437348